unix timestamp	doserate (uSv/h)	lat	lng	horizontal accuracy (radius of 68% confidence [m])	marker type (2-circle, 1-marker)	SE (1 Пѓ)[%]
1563515962	0.2278	53.664695740	37.134445190	3	2	14.0
1563515964	0.2545	53.664676666	37.134410858	4	2	13.июн
1563515968	0.2568	53.664676666	37.134365082	5	2	13.янв
1563515970	0.2746	53.664680481	37.134326935	5	2	13.0
1563515972	0.2545	53.664688110	37.134296417	5	2	13.0
1563515974	0.3617	53.664695740	37.134246826	5	2	11.янв
1563515978	0.3483	53.664703369	37.134189606	5	2	11.мар
1563515982	0.4376	53.664695740	37.134136200	4	2	10.янв
1563515986	0.3595	53.664691925	37.134086609	5	2	11.апр
1563515988	0.3640	53.664676666	37.134037018	5	2	11.май
1563515992	0.3751	53.664684296	37.133995056	5	2	11.июн
1563515994	0.3617	53.664684296	37.133960724	6	2	11.янв
1563515998	0.4019	53.664680481	37.133911133	5	2	10.май
1563516030	0.2947	53.664661407	37.133907318	4	2	12.апр
1563516054	0.3372	53.664634705	37.133930206	5	2	12.0
1563516056	0.3238	53.664642334	37.133964539	6	2	11.сен
1563516072	0.3104	53.664657593	37.133911133	5	2	12.апр
1563516098	0.2813	53.664638519	37.133914948	6	2	12.июл
1563516194	0.2345	53.664657593	37.133953094	12	2	13.июн
1563516214	0.2531	53.664638519	37.133968353	12	2	13.июл
1563516242	0.2144	53.664661407	37.133937836	27	2	15.фев
1563516252	0.1943	53.664600372	37.133991241	32	2	14.июл
1563516254	0.2032	53.664646149	37.133991241	26	2	14.июн
1563516264	0.2456	53.664630890	37.133945465	21	2	13.апр
1563516268	0.1786	53.664653778	37.133922577	27	2	16.фев
1563516274	0.2121	53.664630890	37.133964539	25	2	14.июн
1563516304	0.1920	53.664649963	37.133922577	15	2	15.июн
1563516310	0.2144	53.664630890	37.133937836	16	2	14.июн
1563516314	0.2434	53.664649963	37.133979797	17	2	13.фев
1563516342	0.2367	53.664634705	37.133949280	25	2	14.апр
1563516344	0.1786	53.664611816	37.133960724	27	2	16.фев
1563516348	0.2434	53.664653778	37.133899689	28	2	14.0
1563516374	0.2478	53.664634705	37.133934021	20	2	13.май
1563516388	0.2545	53.664604187	37.133941650	27	2	13.апр
1563516394	0.2233	53.664627075	37.133911133	19	2	14.янв
1563516398	0.2032	53.664630890	37.133872986	19	2	15.апр
1563516400	0.2345	53.664642334	37.133834839	17	2	13.янв
1563516404	0.1920	53.664627075	37.133880615	24	2	15.июн
1563516406	0.3081	53.664615631	37.133907318	19	2	12.мар
1563516410	0.2278	53.664592743	37.133914948	22	2	14.мар
1563516418	0.2144	53.664657593	37.133907318	16	2	14.июн
1563516440	0.2010	53.664638519	37.133941650	12	2	15.авг
1563516474	0.2233	53.664619446	37.133964539	16	2	14.апр
1563516488	0.2367	53.664638519	37.133949280	12	2	13.июл
1563516522	0.2077	53.664653778	37.133930206	14	2	14.мар
1563516528	0.2412	53.664623260	37.133922577	13	2	13.июл
1563516546	0.1987	53.664638519	37.133895874	13	2	14.июн
1563516564	0.2412	53.664657593	37.133872986	13	2	14.апр
1563516572	0.2345	53.664661407	37.133941650	20	2	14.0
1563516574	0.1987	53.664680481	37.133903503	19	2	15.фев
1563516584	0.1831	53.664669037	37.133872986	20	2	15.июн
1563516604	0.2389	53.664627075	37.133930206	28	2	13.янв
1563516612	0.2144	53.664608002	37.133953094	23	2	14.июл
